0,1,2,3,4,5,6
3.,Mixon,3.,Mason,3.,Dobbins,L Jackson R. Stevenson
cAR,30,CAR,(8,cAR,10,CR 16 oR 25
Yos,159,Yos,147,Yos,135,Yos 122 Yos 120
1D,1,0,1,hi),1,O ° Ac) 1
we,13,Wg,24,we,61,Ws 16 7
Sortable,Rushing,Leaders,,,,
RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG «TD LNG) FUM
1,Joe,"Mixon,",RB,HOU,—_W,29-27 at IND 30015953 3 °
2,Jordan,"Mason,",RB,oF,W,32-19 vs. NYS 2 14753 24 °
3,"3K,","Dobbins,",RB,Wc,22-10,vs. Lv 10001350135 a °
4,Lamar,"Jackson,",OB,BAL,©,L.27-20 at KC 16 1220=«O76 36 1
5,Rhamondre,"Stevenson,",RB,NE,W,16-10 at CIN 2 1200: «48 v7 °
6,Saquon,"Barkley,",RB,PHI,«=,W 34-29 vs. GB. 2 0094S 2 34 °
7,Kenneth,Walker,"111,",RB,SEA,6-20 vs. DEN 2 103 521 23 °
8,Aaron,"Jones,",RB,MIN,W,28-6 at NYG 987 19 °
9,David,"Montgomery,",RB,oer,26-20,vs. LAR v7 1 S41 a °
10,Jayden,"Daniels,",QB,WSH,37-20,at TB 16 88 SS 2 7 °
11,Josh,"Jacobs,",RB,ce,34-29,at PHE 16 883 32 °
12,Alvin,"Kamara,",RB,No,W,47-10 vs. CAR 15 ea 55 7 °
13°,Tony,TEN,L.24-17,at,CHE,16 a2 sit 26 °
14,Tank,"Bigsby,",RB,JAX,20-17,at MIA 2) 73 61 oo 26 °
15,James,"Cook,",RB,BUF,=,W34-28 vs. ART 9 7 37) (0 15 °
16,Najee,"Harris,",RB,PIT,W,18-10 at ATL 20 7 35 0 20 °
17,Bijan,"Robinson,",RB,ATLL,18-10,vs. PIT 18 68 380 3 °
18,Bucky,"Irving,",RB,Te,W,37-20 vs. WSH 9 6 69 0 Et °
19,Kyler,"Murray,",Q8,ARL,34-28,at BUF s 57 14 0 28 1
20,dustin,"Fields,",QB,PIT,W,18-10 at ATL 574k 2 °
21,Anthony,Richardso,IND,29-27,vs.,HOU 6 S6 93 1 19 °
22,Breece,"Hall,",RB,NY),32-19,at SF 16 S48 16 1
23.,James,"Conner,",RB,ARI,34-28,at BUF 16 soo 31 ot 20 °
24,Kyren,"Williams,",RB,LAR,26-20,at DET 13300 508d 8 °
25,Jonathan,"Taylor,",RB.,IND,29-27,vs. HOU 16 4830 7 °
26,Emanuel,"Wilson,",RB,ce,134-29,at PHE 4.46 1s 0 38 °
27,Derrick,"Henry,",RB,BALL,27-20,at KC 3 46 035° 1 8 °
28,Isiah,"Pacheco,",RB,Ke,W,27-20 vs. BAL 3045 0CO3O a 5 °
29°,Zack,"Moss,",RB,CIN,_L,16-10 vs. NE 9 4400¢«43 ot 16 °
30,Travis,Etienne,"Jr,",RB,wax,12 a 387 ak rt 1
